site,lat,long,lab,age,std,country_state,region,original_affiliation,culture,context,source,page
Porto (PA-ST-42),-2.4202,-54.7409,WK-6839,586,56,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6833,583,57,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6846,512,59,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386140,500,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386148,490,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386142,460,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6845,455,63,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6837,452,57,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6841,425,56,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6842,418,59,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6838,413,56,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386146,410,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-386147,400,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,Beta-388951,400,30,Para,5,Santarem,2 - Santarem,,Maezumi et al. 2018,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6832,386,62,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Porto (PA-ST-42),-2.4202,-54.7409,WK-6835,380,64,Para,5,Santarem,2 - Santarem,,Quinn 2004,
Terra Preta 2,-2.1769,-56.1048,unknown,690,40,Para,5,Konduri,3 - Konduri,,Panachuk 2012,
Terra Preta 1,-2.1671,-56.0993,unknown,640,50,Para,5,Konduri,3 - Konduri,,Panachuk 2012,
Boa Vista (PA-OR-63),-1.4614,-56.3995,Beta-190280,630,100,Para,5,Konduri,3 - Konduri,,Guapindaia 2008,
Bom Futuro (PA02385),-2.7274,-54.9081,Ua-46306,586,30,Para,5,Santarem,2 - Santarem,,Stenborg 2016,
Bom Futuro (PA02385),-2.7274,-54.9081,Ua-46305,540,30,Para,5,Santarem,2 - Santarem,,Stenborg 2016,
Bom Futuro (PA02385),-2.7274,-54.9081,Ua-46304,497,30,Para,5,Santarem,2 - Santarem,,Stenborg 2016,
Bom Futuro (PA02385),-2.7274,-54.9081,Beta-324178,350,30,Para,5,Santarem,2 - Santarem,,Schaan 2016,
Cedro,-2.6403,-54.7811,Beta-324192,550,30,Para,5,Santarem,2 - Santarem,,Schaan 2016,
Cedro,-2.6403,-54.7811,Beta-324193,240,30,Para,5,Santarem,2 - Santarem,,Schaan 2016,
Aviso I (PA-OR-116),-1.7143,-56.4094,Beta-190284,550,40,Para,5,Konduri,3 - Konduri,,Guapindaia 2008,
Poco,-2.17,-56.74,SI-2775,550,100,Para,5,Konduri,3 - Konduri,,Hilbert and Hilbert 1980,
Amapa,-2.6408,-54.8161,Beta-324176,300,30,Para,5,Santarem,2 - Santarem,,Schaan 2016,
Takara Velho,-1.044,-57.436,7306,820,30,Para,5,Konduri,3 - Konduri,,Jacome 2017,
Takara Velho,-1.044,-57.436,7304,580,30,Para,5,Konduri,3 - Konduri,,Jacome 2017,
Takara Velho,-1.044,-57.436,7311,520,40,Para,5,Konduri,3 - Konduri,,Jacome 2017,
